family_base,knob_variant,ratio_variant,pipeline,runs_total_x,infeasible_runs_x,feasible_runs_x,fallback_mean,fallback_sem,infeasible_rate_x,runs_total_y,infeasible_runs_y,feasible_runs_y,penalty_mean,penalty_sem,infeasible_rate_y,_x
baseline,midvar,off0_on100,MILP(offSlack)+CostAwareBestFit,50,17,33,0.0,0.0,0.34,50,17,33,0.0,0.0,0.34,off0_on100
baseline,midvar,off0_on100,MILP(offSlack)+DynamicLearning,50,30,20,0.0,0.0,0.6,50,30,20,0.0,0.0,0.6,off0_on100
baseline,midvar,off0_on100,MILP(offSlack)+PrimalDual,50,21,29,0.0,0.0,0.42,50,21,29,0.0,0.0,0.42,off0_on100
baseline,midvar,off0_on100,MILP+CostAwareBestFit,50,17,33,0.0,0.0,0.34,50,17,33,0.0,0.0,0.34,off0_on100
baseline,midvar,off0_on100,MILP+DynamicLearning,50,30,20,0.0,0.0,0.6,50,30,20,0.0,0.0,0.6,off0_on100
baseline,midvar,off0_on100,MILP+PrimalDual,50,21,29,0.0,0.0,0.42,50,21,29,0.0,0.0,0.42,off0_on100
baseline,midvar,off0_on100,UtilizationPriced+CostAwareBestFit,50,17,33,0.0,0.0,0.34,50,17,33,0.0,0.0,0.34,off0_on100
baseline,midvar,off0_on100,UtilizationPriced+PrimalDual,50,21,29,0.0,0.0,0.42,50,21,29,0.0,0.0,0.42,off0_on100
baseline,midvar,off20_on80,MILP(offSlack)+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.46,0.09983660119803511,0.0,off20_on80
baseline,midvar,off20_on80,MILP(offSlack)+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.72,0.12790302448913937,0.0,off20_on80
baseline,midvar,off20_on80,MILP(offSlack)+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.64,0.14216977490999685,0.0,off20_on80
baseline,midvar,off20_on80,MILP+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.66,0.12652337043134015,0.0,off20_on80
baseline,midvar,off20_on80,MILP+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.56,0.10751364412701016,0.0,off20_on80
baseline,midvar,off20_on80,MILP+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.9,0.17670452681218546,0.0,off20_on80
baseline,midvar,off20_on80,UtilizationPriced+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.46,0.10384446768792141,0.0,off20_on80
baseline,midvar,off20_on80,UtilizationPriced+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.7,0.14638501094227996,0.0,off20_on80
baseline,midvar,off40_on60,MILP(offSlack)+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.32,0.0830047945504797,0.0,off40_on60
baseline,midvar,off40_on60,MILP(offSlack)+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.3,0.08689660757568883,0.0,off40_on60
baseline,midvar,off40_on60,MILP(offSlack)+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.48,0.10781692722350404,0.0,off40_on60
baseline,midvar,off40_on60,MILP+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.52,0.10396231656377286,0.0,off40_on60
baseline,midvar,off40_on60,MILP+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.32,0.10077252622027655,0.0,off40_on60
baseline,midvar,off40_on60,MILP+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.54,0.13464996191940776,0.0,off40_on60
baseline,midvar,off40_on60,UtilizationPriced+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.3,0.09147320339189784,0.0,off40_on60
baseline,midvar,off40_on60,UtilizationPriced+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.32,0.0830047945504797,0.0,off40_on60
baseline,midvar,off50_on50,MILP(offSlack)+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.4,0.1245399698154478,0.0,off50_on50
baseline,midvar,off50_on50,MILP(offSlack)+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.18,0.061875450936307766,0.0,off50_on50
baseline,midvar,off50_on50,MILP(offSlack)+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.38,0.09428571428571429,0.0,off50_on50
baseline,midvar,off50_on50,MILP+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.42,0.1181144377633965,0.0,off50_on50
baseline,midvar,off50_on50,MILP+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.34,0.08857142857142856,0.0,off50_on50
baseline,midvar,off50_on50,MILP+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.58,0.12806248474865697,0.0,off50_on50
baseline,midvar,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.26,0.0745599334325708,0.0,off50_on50
baseline,midvar,off50_on50,UtilizationPriced+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.2,0.06998542122237651,0.0,off50_on50
baseline,midvar,off60_on40,MILP(offSlack)+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.28,0.08590455073355946,0.0,off60_on40
baseline,midvar,off60_on40,MILP(offSlack)+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.22,0.08226388599364555,0.0,off60_on40
baseline,midvar,off60_on40,MILP(offSlack)+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.42,0.12152097324649563,0.0,off60_on40
baseline,midvar,off60_on40,MILP+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.46,0.1376478796622389,0.0,off60_on40
baseline,midvar,off60_on40,MILP+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.34,0.10145874802608404,0.0,off60_on40
baseline,midvar,off60_on40,MILP+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.78,0.19227955838161415,0.0,off60_on40
baseline,midvar,off60_on40,UtilizationPriced+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.06,0.033926691677251195,0.0,off60_on40
baseline,midvar,off60_on40,UtilizationPriced+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.1,0.04285714285714286,0.0,off60_on40
baseline,midvar,off80_on20,MILP(offSlack)+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.14,0.0572142411271451,0.0,off80_on20
baseline,midvar,off80_on20,MILP(offSlack)+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.08,0.038756171332144394,0.0,off80_on20
baseline,midvar,off80_on20,MILP(offSlack)+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.18,0.054883922035138706,0.0,off80_on20
baseline,midvar,off80_on20,MILP+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.34,0.08383657572069263,0.0,off80_on20
baseline,midvar,off80_on20,MILP+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.16,0.05965889433663171,0.0,off80_on20
baseline,midvar,off80_on20,MILP+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.62,0.13058737008030216,0.0,off80_on20
baseline,midvar,off80_on20,UtilizationPriced+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.06,0.033926691677251195,0.0,off80_on20
baseline,midvar,off80_on20,UtilizationPriced+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.06,0.03392669167725119,0.0,off80_on20
