family,variant,pipeline,total_objective_mean,total_objective_ci95
baseline_ab,baseline_A,BFD+BestFit,899.0652706120469,7.45458823260426
baseline_ab,baseline_A,BFD+NextFit,401.3793110956438,20.561967983693496
baseline_ab,baseline_A,CostAwareBFD+CostAwareBestFit,387.2699158825093,3.9123994363898085
baseline_ab,baseline_A,FFD+BestFit,898.4952327589789,8.750975566310807
baseline_ab,baseline_A,FFD+NextFit,484.2631295165988,29.03527883835229
baseline_ab,baseline_A,MILP(BFD-warm)+BestFit,783.7952306115866,8.264423688931789
baseline_ab,baseline_A,MILP(BFD-warm)+CostAwareBestFit,385.20829137679,3.5805761847647646
baseline_ab,baseline_A,MILP+BalancedPrice,384.72581695957103,3.1281838257364485
baseline_ab,baseline_A,MILP+BestFit,783.7952306115866,8.264423688931789
baseline_ab,baseline_A,MILP+CostAwareBestFit,385.20829137679,3.5805761847647646
baseline_ab,baseline_A,MILP+NextFit,256.74406066025284,22.051765472663945
baseline_ab,baseline_B,BFD+BestFit,895.9026322806188,10.429576923638514
baseline_ab,baseline_B,BFD+NextFit,350.0639113471345,21.708274408134493
baseline_ab,baseline_B,CostAwareBFD+CostAwareBestFit,373.35320119936284,2.394652720901532
baseline_ab,baseline_B,FFD+BestFit,895.3399246740522,8.483101523101471
baseline_ab,baseline_B,FFD+NextFit,526.2994251486384,46.17848392515346
baseline_ab,baseline_B,MILP(BFD-warm)+BestFit,781.3387939275271,6.593883765417184
baseline_ab,baseline_B,MILP(BFD-warm)+CostAwareBestFit,373.2667134574139,2.431353646758814
baseline_ab,baseline_B,MILP+BalancedPrice,373.2667134574139,2.431353646758814
baseline_ab,baseline_B,MILP+BestFit,781.3387939275271,6.593883765417184
baseline_ab,baseline_B,MILP+CostAwareBestFit,373.2667134574139,2.431353646758814
baseline_ab,baseline_B,MILP+NextFit,222.38884106122072,14.276567838302373
capacity_regimes,slack_A,BFD+BestFit,895.1908235424013,9.942801548706118
capacity_regimes,slack_A,BFD+NextFit,419.3552250250595,28.73335251180948
capacity_regimes,slack_A,CostAwareBFD+CostAwareBestFit,372.4996635108995,2.273295567043601
capacity_regimes,slack_A,FFD+BestFit,894.34893448731,9.063029890308396
capacity_regimes,slack_A,FFD+NextFit,490.1146758667083,31.1715616397194
capacity_regimes,slack_A,MILP(BFD-warm)+BestFit,787.5270221535017,7.72099829742893
capacity_regimes,slack_A,MILP(BFD-warm)+CostAwareBestFit,371.5879189600007,2.295320946931513
capacity_regimes,slack_A,MILP+BalancedPrice,371.5879189600007,2.295320946931513
capacity_regimes,slack_A,MILP+BestFit,787.5270221535017,7.72099829742893
capacity_regimes,slack_A,MILP+CostAwareBestFit,371.5879189600007,2.295320946931513
capacity_regimes,slack_A,MILP+NextFit,288.58190716828983,24.558381501318777
capacity_regimes,slack_B,BFD+BestFit,905.9257021362341,10.294068026598305
capacity_regimes,slack_B,BFD+NextFit,365.41926093074926,21.10562216107897
capacity_regimes,slack_B,CostAwareBFD+CostAwareBestFit,365.44104367652113,1.6412042317777773
capacity_regimes,slack_B,FFD+BestFit,891.9411223216842,9.631472914832354
capacity_regimes,slack_B,FFD+NextFit,556.3954123125828,51.36785548552271
capacity_regimes,slack_B,MILP(BFD-warm)+BestFit,784.7552649204882,7.628983977376616
capacity_regimes,slack_B,MILP(BFD-warm)+CostAwareBestFit,365.35448128087694,1.6698052551096487
capacity_regimes,slack_B,MILP+BalancedPrice,365.35448128087694,1.6698052551096487
capacity_regimes,slack_B,MILP+BestFit,784.7552649204882,7.628983977376616
capacity_regimes,slack_B,MILP+CostAwareBestFit,365.35448128087694,1.6698052551096487
capacity_regimes,slack_B,MILP+NextFit,246.17098230693452,14.80302683624656
capacity_regimes,tight_A,BFD+BestFit,3967619.6131677,908621.1429321633
capacity_regimes,tight_A,BFD+NextFit,369.0616854625026,19.51445688861721
capacity_regimes,tight_A,CostAwareBFD+CostAwareBestFit,5233868.732295092,1149756.4700879215
capacity_regimes,tight_A,FFD+BestFit,3967609.5233956226,908623.4037134164
capacity_regimes,tight_A,FFD+NextFit,427.3726876936942,24.67685977860523
capacity_regimes,tight_A,MILP(BFD-warm)+BestFit,4200853.9608962005,950968.2662704923
capacity_regimes,tight_A,MILP(BFD-warm)+CostAwareBestFit,5133861.854668513,1015352.7227007324
capacity_regimes,tight_A,MILP+BalancedPrice,403.0611068689433,5.368735549083109
capacity_regimes,tight_A,MILP+BestFit,4200853.9608962005,950968.2662704923
capacity_regimes,tight_A,MILP+CostAwareBestFit,5133861.854668513,1015352.7227007324
capacity_regimes,tight_A,MILP+NextFit,252.75469762438476,21.229732787306663
capacity_regimes,tight_B,BFD+BestFit,967595.9456750439,736876.058451387
capacity_regimes,tight_B,BFD+NextFit,327.5087076973081,22.35984973226555
capacity_regimes,tight_B,CostAwareBFD+CostAwareBestFit,1200447.0007436955,604676.9055806425
capacity_regimes,tight_B,FFD+BestFit,800916.5036996169,686732.8358886827
capacity_regimes,tight_B,FFD+NextFit,467.57634890050247,36.40006463206647
capacity_regimes,tight_B,MILP(BFD-warm)+BestFit,834142.3266884658,728444.9126138436
capacity_regimes,tight_B,MILP(BFD-warm)+CostAwareBestFit,1300449.998428282,697903.2247937876
capacity_regimes,tight_B,MILP+BalancedPrice,392.60552768937237,2.950235386889935
capacity_regimes,tight_B,MILP+BestFit,834142.3266884658,728444.9126138436
capacity_regimes,tight_B,MILP+CostAwareBestFit,1300449.998428282,697903.2247937876
capacity_regimes,tight_B,MILP+NextFit,220.43125003232333,24.436442423887158
cost_shift,high_penalty_A,BFD+BestFit,2012.064495026147,11.882414062741539
cost_shift,high_penalty_A,BFD+NextFit,942.9455950376683,55.36362792730685
cost_shift,high_penalty_A,CostAwareBFD+CostAwareBestFit,1214.0124617431625,6.537384471647585
cost_shift,high_penalty_A,FFD+BestFit,2011.1777694769305,13.378782320900452
cost_shift,high_penalty_A,FFD+NextFit,1202.4685718406354,74.54266241448428
cost_shift,high_penalty_A,MILP(BFD-warm)+BestFit,1831.3110994698757,12.975573622038675
cost_shift,high_penalty_A,MILP(BFD-warm)+CostAwareBestFit,1210.8054902898214,6.165441125069026
cost_shift,high_penalty_A,MILP+BalancedPrice,1209.49201156674,4.810581724874512
cost_shift,high_penalty_A,MILP+BestFit,1831.3110994698757,12.975573622038675
cost_shift,high_penalty_A,MILP+CostAwareBestFit,1210.8054902898214,6.165441125069026
cost_shift,high_penalty_A,MILP+NextFit,669.4092795455784,53.703224509086276
cost_shift,high_penalty_B,BFD+BestFit,2004.7374279920741,16.223786325659958
cost_shift,high_penalty_B,BFD+NextFit,806.1364546881351,53.765040205019
cost_shift,high_penalty_B,CostAwareBFD+CostAwareBestFit,1191.882757421231,3.725015343624651
cost_shift,high_penalty_B,FFD+BestFit,2003.8621050485258,13.195935702602231
cost_shift,high_penalty_B,FFD+NextFit,1339.3916983793638,124.88667520909428
cost_shift,high_penalty_B,MILP(BFD-warm)+BestFit,1827.0084942576348,10.145227756095506
cost_shift,high_penalty_B,MILP(BFD-warm)+CostAwareBestFit,1191.748220933755,3.7821056727359794
cost_shift,high_penalty_B,MILP+BalancedPrice,1191.748220933755,3.7821056727359794
cost_shift,high_penalty_B,MILP+BestFit,1827.0084942576348,10.145227756095506
cost_shift,high_penalty_B,MILP+CostAwareBestFit,1191.748220933755,3.7821056727359794
cost_shift,high_penalty_B,MILP+NextFit,584.5085675767137,33.8751444225673
graph_sparsity,dense_A,BFD+BestFit,897.2614739098805,9.114447253875712
graph_sparsity,dense_A,BFD+NextFit,453.8929948440774,35.057616990401776
graph_sparsity,dense_A,CostAwareBFD+CostAwareBestFit,359.9463895750085,2.3681319701461163
graph_sparsity,dense_A,FFD+BestFit,888.0839338668404,8.699995717072381
graph_sparsity,dense_A,FFD+NextFit,538.8711535063117,33.9923167660123
graph_sparsity,dense_A,MILP(BFD-warm)+BestFit,782.7436719350783,8.59925086406605
graph_sparsity,dense_A,MILP(BFD-warm)+CostAwareBestFit,359.0045043410343,2.311959103227305
graph_sparsity,dense_A,MILP+BalancedPrice,359.0045043410343,2.311959103227305
graph_sparsity,dense_A,MILP+BestFit,782.7436719350783,8.59925086406605
graph_sparsity,dense_A,MILP+CostAwareBestFit,359.0045043410343,2.311959103227305
graph_sparsity,dense_A,MILP+NextFit,308.14019819206834,28.62770211204261
graph_sparsity,dense_B,BFD+BestFit,894.2700570184031,8.026826943733605
graph_sparsity,dense_B,BFD+NextFit,358.1364536871844,19.042136633377655
graph_sparsity,dense_B,CostAwareBFD+CostAwareBestFit,349.7002957800376,1.886808792289976
graph_sparsity,dense_B,FFD+BestFit,888.8378184842738,7.401494035481949
graph_sparsity,dense_B,FFD+NextFit,534.834818868146,41.280650351578885
graph_sparsity,dense_B,MILP(BFD-warm)+BestFit,785.1713656887002,7.388511431563989
graph_sparsity,dense_B,MILP(BFD-warm)+CostAwareBestFit,349.5928252957059,1.8708484418374862
graph_sparsity,dense_B,MILP+BalancedPrice,349.5928252957059,1.8708484418374862
graph_sparsity,dense_B,MILP+BestFit,785.1713656887002,7.388511431563989
graph_sparsity,dense_B,MILP+CostAwareBestFit,349.5928252957059,1.8708484418374862
graph_sparsity,dense_B,MILP+NextFit,227.1714808029269,14.987321670496526
graph_sparsity,sparse_A,BFD+BestFit,100918.8753312629,144064.22128107172
graph_sparsity,sparse_A,BFD+NextFit,493.75052424467015,32.962759637134006
graph_sparsity,sparse_A,CostAwareBFD+CostAwareBestFit,455.4456598181939,5.495665790500983
graph_sparsity,sparse_A,FFD+BestFit,134250.57642820987,155366.56625526072
graph_sparsity,sparse_A,FFD+NextFit,571.6759756876032,37.6966935020008
graph_sparsity,sparse_A,MILP(BFD-warm)+BestFit,100821.07415389083,109187.23935369732
graph_sparsity,sparse_A,MILP(BFD-warm)+CostAwareBestFit,454.58574691259827,6.17392998543079
graph_sparsity,sparse_A,MILP+BalancedPrice,451.4953129710208,4.543095562994777
graph_sparsity,sparse_A,MILP+BestFit,100821.07415389083,109187.23935369732
graph_sparsity,sparse_A,MILP+CostAwareBestFit,454.58574691259827,6.17392998543079
graph_sparsity,sparse_A,MILP+NextFit,341.9501842723291,23.77270440903571
graph_sparsity,sparse_B,BFD+BestFit,913.2610235510601,10.006818920133288
graph_sparsity,sparse_B,BFD+NextFit,388.01873838427827,16.562315096291034
graph_sparsity,sparse_B,CostAwareBFD+CostAwareBestFit,433.7758413520565,3.681214616600733
graph_sparsity,sparse_B,FFD+BestFit,901.3332306884826,10.247370904930564
graph_sparsity,sparse_B,FFD+NextFit,546.8067263226087,48.6677568770518
graph_sparsity,sparse_B,MILP(BFD-warm)+BestFit,34132.689715570545,65334.74999044025
graph_sparsity,sparse_B,MILP(BFD-warm)+CostAwareBestFit,434.5670783437389,3.9817610716111114
graph_sparsity,sparse_B,MILP+BalancedPrice,433.78004748258275,3.5256421715572137
graph_sparsity,sparse_B,MILP+BestFit,34132.689715570545,65334.74999044025
graph_sparsity,sparse_B,MILP+CostAwareBestFit,434.5670783437389,3.9817610716111114
graph_sparsity,sparse_B,MILP+NextFit,260.71539046028255,18.19956214121138
horizon_stress,long_A,BFD+BestFit,30568415.907711785,1448818.0069604372
horizon_stress,long_A,BFD+NextFit,399.0564061701223,25.3925292993742
horizon_stress,long_A,CostAwareBFD+CostAwareBestFit,31067943.96083517,1506362.742509496
horizon_stress,long_A,FFD+BestFit,30101745.189006623,1625944.0736265664
horizon_stress,long_A,FFD+NextFit,476.9462586452643,30.370632985785637
horizon_stress,long_A,MILP(BFD-warm)+BestFit,29968384.768684283,1598925.0148194635
horizon_stress,long_A,MILP(BFD-warm)+CostAwareBestFit,31101270.50510523,1533715.4817936078
horizon_stress,long_A,MILP+BalancedPrice,511.5054434060667,8.075227075800813
horizon_stress,long_A,MILP+BestFit,29968384.768684283,1598925.0148194635
horizon_stress,long_A,MILP+CostAwareBestFit,31101270.50510523,1533715.4817936078
horizon_stress,long_A,MILP+NextFit,266.2547137091182,20.025599028834407
horizon_stress,long_B,BFD+BestFit,34335001.838473804,1940405.0564917813
horizon_stress,long_B,BFD+NextFit,342.937504063445,17.92681202779859
horizon_stress,long_B,CostAwareBFD+CostAwareBestFit,30201133.00526814,1796396.8710448
horizon_stress,long_B,FFD+BestFit,33001653.862884495,3418203.827362933
horizon_stress,long_B,FFD+NextFit,509.0228761011959,38.92042076272222
horizon_stress,long_B,MILP(BFD-warm)+BestFit,34268301.824831106,1412559.7236613603
horizon_stress,long_B,MILP(BFD-warm)+CostAwareBestFit,31967830.009450424,1766857.9995879584
horizon_stress,long_B,MILP+BalancedPrice,522.209996261441,6.1746523878403705
horizon_stress,long_B,MILP+BestFit,34268301.824831106,1412559.7236613603
horizon_stress,long_B,MILP+CostAwareBestFit,31967830.009450424,1766857.9995879584
horizon_stress,long_B,MILP+NextFit,216.37976342085136,17.058069871580287
horizon_stress,short_A,BFD+BestFit,466.3143664982662,6.081102257951903
horizon_stress,short_A,BFD+NextFit,392.87221717969135,22.210667181553298
horizon_stress,short_A,CostAwareBFD+CostAwareBestFit,189.87473911005299,1.214837244709592
horizon_stress,short_A,FFD+BestFit,467.93561433560586,5.355417774036106
horizon_stress,short_A,FFD+NextFit,476.93443405799815,26.756902278765722
horizon_stress,short_A,MILP(BFD-warm)+BestFit,354.9048034762572,4.740030023391403
horizon_stress,short_A,MILP(BFD-warm)+CostAwareBestFit,188.8756985095865,1.1160547553047833
horizon_stress,short_A,MILP+BalancedPrice,188.8756985095865,1.1160547553047833
horizon_stress,short_A,MILP+BestFit,354.9048034762572,4.740030023391403
horizon_stress,short_A,MILP+CostAwareBestFit,188.8756985095865,1.1160547553047833
horizon_stress,short_A,MILP+NextFit,284.4282510111608,25.819273490292495
horizon_stress,short_B,BFD+BestFit,464.7765526282396,6.193920593361398
horizon_stress,short_B,BFD+NextFit,338.42033994926084,20.338382661800452
horizon_stress,short_B,CostAwareBFD+CostAwareBestFit,185.45427269166402,1.0761285203945572
horizon_stress,short_B,FFD+BestFit,461.59684023091467,5.741530554897512
horizon_stress,short_B,FFD+NextFit,522.0673045460672,42.407488320509096
horizon_stress,short_B,MILP(BFD-warm)+BestFit,355.9337443802071,4.974672620648792
horizon_stress,short_B,MILP(BFD-warm)+CostAwareBestFit,185.3084586356122,1.044478055628124
horizon_stress,short_B,MILP+BalancedPrice,185.3084586356122,1.044478055628124
horizon_stress,short_B,MILP+BestFit,355.9337443802071,4.974672620648792
horizon_stress,short_B,MILP+CostAwareBestFit,185.3084586356122,1.044478055628124
horizon_stress,short_B,MILP+NextFit,240.3025935907053,22.42002384864158
